loss,grad_norm,learning_rate,epoch
2.4401,4.54932165145874,0.0002,0.03
2.2522,5.592896938323975,0.0002,0.05
2.0207,8.451057434082031,0.0002,0.07
1.833,7.84295654296875,0.0002,0.09
1.7,5.768841743469238,0.0002,0.1
1.7252,6.015746593475342,0.0002,0.12
1.5691,5.166071891784668,0.0002,0.14
1.6054,5.9486823081970215,0.0002,0.16
1.5373,5.935572147369385,0.0002,0.17
1.489,5.503756999969482,0.0002,0.19
1.4758,6.573701858520508,0.0002,0.21
1.4527,5.920657634735107,0.0002,0.22
1.4209,6.244678974151611,0.0002,0.24
1.4407,6.762345314025879,0.0002,0.26
1.4047,6.4901227951049805,0.0002,0.28
1.3474,7.074990272521973,0.0002,0.29
1.3447,6.664266109466553,0.0002,0.31
1.3336,7.644521713256836,0.0002,0.33
1.302,7.618354320526123,0.0002,0.35
1.3382,6.84598445892334,0.0002,0.36
1.3648,6.9572038650512695,0.0002,0.38
1.2948,6.418123245239258,0.0002,0.4
1.3013,7.430232048034668,0.0002,0.41
1.2947,6.829370498657227,0.0002,0.43
1.3002,6.708364963531494,0.0002,0.45
1.2464,6.859429359436035,0.0002,0.47
1.2226,7.392430782318115,0.0002,0.48
1.1811,6.822373867034912,0.0002,0.5
1.2511,6.514771461486816,0.0002,0.52
1.2112,7.5400471687316895,0.0002,0.54
1.2029,7.046596050262451,0.0002,0.55
1.2443,7.553953170776367,0.0002,0.57
1.1787,7.460027694702148,0.0002,0.59
1.2165,6.596584796905518,0.0002,0.61
1.2068,6.884382247924805,0.0002,0.62
1.1881,7.062110900878906,0.0002,0.64
1.2158,6.78258752822876,0.0002,0.66
1.1616,7.839870452880859,0.0002,0.67
1.1601,6.45238733291626,0.0002,0.69
1.215,7.620053768157959,0.0002,0.71
1.1839,7.324428558349609,0.0002,0.73
1.1918,6.7048869132995605,0.0002,0.74
1.1773,6.983245849609375,0.0002,0.76
1.1538,7.09714937210083,0.0002,0.78
1.1881,7.942037105560303,0.0002,0.8
1.184,7.001072883605957,0.0002,0.81
1.1447,6.913371562957764,0.0002,0.83
1.1686,7.542503833770752,0.0002,0.85
1.1596,6.703799247741699,0.0002,0.86
1.1666,6.484847068786621,0.0002,0.88
1.1839,6.520663261413574,0.0002,0.9
1.2063,6.138363838195801,0.0002,0.92
1.1914,7.211183071136475,0.0002,0.93
1.1442,6.150135517120361,0.0002,0.95
1.1623,6.645340442657471,0.0002,0.97
1.1425,6.913072109222412,0.0002,0.99
1.1497,6.256707191467285,0.0002,1.0
1.134,6.40343713760376,0.0002,1.02
1.1298,7.007958889007568,0.0002,1.04
1.1324,6.656667232513428,0.0002,1.05
1.1295,6.966361999511719,0.0002,1.07
1.1088,7.63405704498291,0.0002,1.09
1.1007,6.224790573120117,0.0002,1.11
1.1093,6.248202800750732,0.0002,1.12
1.1275,7.230744361877441,0.0002,1.14
1.1461,6.336569786071777,0.0002,1.16
1.1504,6.510573387145996,0.0002,1.18
1.1317,6.8266754150390625,0.0002,1.19
1.1771,6.708704471588135,0.0002,1.21
1.1508,6.14323616027832,0.0002,1.23
1.1321,6.463295936584473,0.0002,1.24
1.1546,6.856960296630859,0.0002,1.26
1.0891,7.285539150238037,0.0002,1.28
1.1234,6.23911190032959,0.0002,1.3
1.1315,6.54625940322876,0.0002,1.31
1.1499,6.448947906494141,0.0002,1.33
1.1095,6.96805477142334,0.0002,1.35
1.1107,6.554820537567139,0.0002,1.37
1.0939,6.864654064178467,0.0002,1.38
1.0995,6.191131591796875,0.0002,1.4
1.1531,6.392024993896484,0.0002,1.42
1.0926,6.28678560256958,0.0002,1.43
1.1112,6.319988250732422,0.0002,1.45
1.0671,6.771874904632568,0.0002,1.47
1.097,6.812203884124756,0.0002,1.49
1.1302,6.791704177856445,0.0002,1.5
1.0603,6.167662143707275,0.0002,1.52
1.0873,6.27255916595459,0.0002,1.54
1.0923,6.520177364349365,0.0002,1.56
1.1255,6.107080459594727,0.0002,1.57
1.0836,7.057075023651123,0.0002,1.59
1.0699,6.250047206878662,0.0002,1.61
1.108,5.932468414306641,0.0002,1.62
1.1065,6.257958889007568,0.0002,1.64
1.1148,5.9727678298950195,0.0002,1.66
1.0856,5.8850297927856445,0.0002,1.68
1.09,6.734228134155273,0.0002,1.69
1.1033,6.059775352478027,0.0002,1.71
1.0928,5.880706787109375,0.0002,1.73
1.0573,6.423445224761963,0.0002,1.75
1.1156,5.689881801605225,0.0002,1.76
1.1013,5.620721817016602,0.0002,1.78
1.0838,6.120365619659424,0.0002,1.8
1.0766,6.736672401428223,0.0002,1.82
1.0694,6.244631767272949,0.0002,1.83
1.1103,6.554916858673096,0.0002,1.85
1.0843,5.980915069580078,0.0002,1.87
1.0918,5.876392841339111,0.0002,1.88
1.0756,5.794938087463379,0.0002,1.9
1.0762,6.624763488769531,0.0002,1.92
1.0745,6.9919328689575195,0.0002,1.94
1.1079,6.291275501251221,0.0002,1.95
1.1119,6.206979751586914,0.0002,1.97
1.0745,5.691422939300537,0.0002,1.99
1.0834,6.044478416442871,0.0002,2.01
1.0337,5.943032741546631,0.0002,2.02
1.0417,5.944650173187256,0.0002,2.04
1.0686,5.947720050811768,0.0002,2.06
1.0676,6.427282333374023,0.0002,2.07
1.0314,5.97100305557251,0.0002,2.09
1.052,5.920538902282715,0.0002,2.11
1.0536,6.0026092529296875,0.0002,2.13
0.9946,6.918979167938232,0.0002,2.14
1.0047,5.993133544921875,0.0002,2.16
1.0528,6.188049793243408,0.0002,2.18
1.0683,6.4163618087768555,0.0002,2.2
1.0367,6.381513595581055,0.0002,2.21
1.0482,6.350888729095459,0.0002,2.23
1.0773,5.566852569580078,0.0002,2.25
1.0057,6.626641273498535,0.0002,2.26
1.0411,6.7401227951049805,0.0002,2.28
1.0255,6.525855541229248,0.0002,2.3
1.0495,6.230302810668945,0.0002,2.32
1.0304,6.491821765899658,0.0002,2.33
1.0892,5.836639404296875,0.0002,2.35
1.0621,6.29296350479126,0.0002,2.37
1.0268,6.0406174659729,0.0002,2.39
1.0348,6.2960357666015625,0.0002,2.4
1.0818,5.910457134246826,0.0002,2.42
1.0886,5.877377510070801,0.0002,2.44
1.0855,5.973223686218262,0.0002,2.45
1.0641,6.395350933074951,0.0002,2.47
1.0831,6.378170490264893,0.0002,2.49
1.0365,6.21612548828125,0.0002,2.51
1.0045,6.219177722930908,0.0002,2.52
1.0399,6.0413970947265625,0.0002,2.54
0.9925,6.07093620300293,0.0002,2.56
1.0955,5.57066535949707,0.0002,2.58
1.0301,5.862934589385986,0.0002,2.59
1.0966,5.748096942901611,0.0002,2.61
1.0538,5.690628528594971,0.0002,2.63
1.0056,5.6283063888549805,0.0002,2.64
1.108,6.305529594421387,0.0002,2.66
1.0435,6.344935894012451,0.0002,2.68
1.0404,5.552215576171875,0.0002,2.7
1.0354,6.542007923126221,0.0002,2.71
1.0725,5.995535373687744,0.0002,2.73
1.0902,5.759089469909668,0.0002,2.75
1.0188,6.011345863342285,0.0002,2.77
1.0644,5.697875022888184,0.0002,2.78
1.0027,5.7049126625061035,0.0002,2.8
1.0541,5.852867603302002,0.0002,2.82
1.0435,5.887819766998291,0.0002,2.83
1.0475,6.123358249664307,0.0002,2.85
0.9976,6.190786838531494,0.0002,2.87
1.0294,6.034763336181641,0.0002,2.89
1.0048,6.2141618728637695,0.0002,2.9
1.0854,5.8633317947387695,0.0002,2.92
1.0023,6.134963512420654,0.0002,2.94
1.044,5.83345890045166,0.0002,2.96
1.0047,5.6392903327941895,0.0002,2.97
1.0224,5.453463077545166,0.0002,2.99
0.9953,5.9834303855896,0.0002,3.01
1.023,5.829610824584961,0.0002,3.03
0.9534,5.815934181213379,0.0002,3.04
0.9446,6.123513698577881,0.0002,3.06
1.0311,5.754098892211914,0.0002,3.08
0.9936,5.9896321296691895,0.0002,3.09
0.976,6.342652320861816,0.0002,3.11
1.0225,5.7315568923950195,0.0002,3.13
0.9977,5.678964614868164,0.0002,3.15
1.0369,5.940027236938477,0.0002,3.16
0.9669,6.117877006530762,0.0002,3.18
1.0743,5.469198703765869,0.0002,3.2
0.988,5.8746819496154785,0.0002,3.22
0.9732,6.009661674499512,0.0002,3.23
1.0205,6.034038543701172,0.0002,3.25
1.0102,5.806221961975098,0.0002,3.27
1.0305,6.64714241027832,0.0002,3.28
1.0329,6.022454738616943,0.0002,3.3
1.0294,6.156910419464111,0.0002,3.32
1.0526,5.63557767868042,0.0002,3.34
0.9606,5.9294939041137695,0.0002,3.35
0.9875,5.530533313751221,0.0002,3.37
0.9954,6.252071380615234,0.0002,3.39
1.077,5.820401191711426,0.0002,3.41
1.0221,5.606686592102051,0.0002,3.42
1.0128,6.337584495544434,0.0002,3.44
1.0378,5.99342679977417,0.0002,3.46
1.0438,5.568210124969482,0.0002,3.47
1.0227,5.729730606079102,0.0002,3.49
0.9543,6.382146835327148,0.0002,3.51
0.999,6.20088529586792,0.0002,3.53
1.0495,5.743860244750977,0.0002,3.54
1.0065,6.362868309020996,0.0002,3.56
1.0066,6.01015043258667,0.0002,3.58
0.979,6.12952184677124,0.0002,3.6
1.0301,5.834344863891602,0.0002,3.61
1.0278,6.249605655670166,0.0002,3.63
1.0162,6.215485572814941,0.0002,3.65
0.9876,5.7997541427612305,0.0002,3.66
1.0001,5.981667995452881,0.0002,3.68
0.9572,5.937722682952881,0.0002,3.7
1.002,5.782695293426514,0.0002,3.72
0.9971,6.097928524017334,0.0002,3.73
0.9981,5.897447109222412,0.0002,3.75
0.988,5.548954010009766,0.0002,3.77
0.9753,5.795232772827148,0.0002,3.79
0.9477,6.007657527923584,0.0002,3.8
0.9753,6.357218265533447,0.0002,3.82
1.0392,5.3573384284973145,0.0002,3.84
0.9577,6.231564521789551,0.0002,3.85
0.9766,5.358453750610352,0.0002,3.87
0.9963,5.726663589477539,0.0002,3.89
0.9674,5.975709438323975,0.0002,3.91
0.9986,6.238125801086426,0.0002,3.92
0.9606,5.761771202087402,0.0002,3.94
1.0364,5.75484037399292,0.0002,3.96
0.977,5.580870151519775,0.0002,3.98
0.9798,6.397705554962158,0.0002,3.99
0.9518,5.768058776855469,0.0002,4.01
0.9548,5.445761680603027,0.0002,4.03
1.0116,6.110721588134766,0.0002,4.04
0.9768,5.919597148895264,0.0002,4.06
0.9269,6.049651145935059,0.0002,4.08
0.965,5.55217170715332,0.0002,4.1
0.9839,5.734176158905029,0.0002,4.11
0.9595,5.935368537902832,0.0002,4.13
0.9561,6.243412017822266,0.0002,4.15
0.9422,5.852625846862793,0.0002,4.17
0.969,6.0116472244262695,0.0002,4.18
0.9902,5.6824517250061035,0.0002,4.2
0.9303,6.082813739776611,0.0002,4.22
0.9578,6.108146667480469,0.0002,4.24
0.9315,6.29035758972168,0.0002,4.25
0.9632,6.483988285064697,0.0002,4.27
0.9398,6.576503276824951,0.0002,4.29
0.9047,5.940040111541748,0.0002,4.3
0.983,6.3862409591674805,0.0002,4.32
0.9915,6.095378875732422,0.0002,4.34
0.9912,6.089323997497559,0.0002,4.36
0.9658,6.038738250732422,0.0002,4.37
0.9562,5.653072834014893,0.0002,4.39
0.941,6.231266021728516,0.0002,4.41
0.9681,5.906407356262207,0.0002,4.43
1.0042,5.828914165496826,0.0002,4.44
0.943,5.813852310180664,0.0002,4.46
1.0296,5.928987979888916,0.0002,4.48
0.9547,5.899868011474609,0.0002,4.49
0.9167,5.873646259307861,0.0002,4.51
0.9916,6.015422344207764,0.0002,4.53
0.9643,5.7875566482543945,0.0002,4.55
0.9828,5.683768272399902,0.0002,4.56
0.9746,5.988405704498291,0.0002,4.58
1.0167,5.694162845611572,0.0002,4.6
0.9771,6.34542989730835,0.0002,4.62
0.9577,6.005857944488525,0.0002,4.63
0.972,6.054779529571533,0.0002,4.65
0.9797,5.907695293426514,0.0002,4.67
1.0102,5.873415470123291,0.0002,4.68
0.9511,5.903594017028809,0.0002,4.7
0.9976,5.7763352394104,0.0002,4.72
0.9346,5.925142765045166,0.0002,4.74
0.9711,5.878860950469971,0.0002,4.75
0.9669,5.766307830810547,0.0002,4.77
0.9608,5.53269624710083,0.0002,4.79
0.9472,5.592599391937256,0.0002,4.81
0.9904,5.643466949462891,0.0002,4.82
0.9879,5.726715564727783,0.0002,4.84
1.0227,6.04503059387207,0.0002,4.86
1.0143,5.928718090057373,0.0002,4.87
0.9901,6.232987880706787,0.0002,4.89
0.9653,5.649896621704102,0.0002,4.91
1.0103,5.858952045440674,0.0002,4.93
0.959,5.638880729675293,0.0002,4.94
0.9633,5.811298370361328,0.0002,4.96
0.9475,5.708878993988037,0.0002,4.98
0.9852,5.759720325469971,0.0002,5.0
0.9583,5.514200687408447,0.0002,5.01
0.9497,6.205531597137451,0.0002,5.03
0.9572,5.887664794921875,0.0002,5.05
0.951,6.284996032714844,0.0002,5.06
0.9319,5.569859981536865,0.0002,5.08
0.9363,6.150140762329102,0.0002,5.1
0.9311,5.592890739440918,0.0002,5.12
0.9271,5.897797107696533,0.0002,5.13
0.9338,6.369588375091553,0.0002,5.15
0.9627,6.012159824371338,0.0002,5.17
0.9577,6.4791975021362305,0.0002,5.19
1.0112,5.938464164733887,0.0002,5.2
0.9523,6.026558876037598,0.0002,5.22
0.9118,6.19989013671875,0.0002,5.24
0.9083,5.879466533660889,0.0002,5.25
0.94,6.008687496185303,0.0002,5.27
0.9244,6.246657371520996,0.0002,5.29
0.9577,6.367334365844727,0.0002,5.31
0.9007,6.387925624847412,0.0002,5.32
0.9564,5.897136688232422,0.0002,5.34
0.9441,6.073293209075928,0.0002,5.36
0.9808,5.756076812744141,0.0002,5.38
0.9156,6.311124324798584,0.0002,5.39
0.9763,6.0545878410339355,0.0002,5.41
0.9358,6.908834934234619,0.0002,5.43
0.9154,6.014763832092285,0.0002,5.45
0.9473,6.424966812133789,0.0002,5.46
0.9247,6.094278335571289,0.0002,5.48
0.958,6.2663984298706055,0.0002,5.5
0.9978,5.881072521209717,0.0002,5.51
0.9492,6.06909704208374,0.0002,5.53
0.9477,5.975950241088867,0.0002,5.55
0.9264,6.594111919403076,0.0002,5.57
0.8846,6.131364345550537,0.0002,5.58
0.91,5.8471527099609375,0.0002,5.6
0.9073,6.002979278564453,0.0002,5.62
0.9535,6.466720104217529,0.0002,5.64
0.9134,5.951537132263184,0.0002,5.65
0.9141,6.06477689743042,0.0002,5.67
0.968,5.8861308097839355,0.0002,5.69
0.9489,5.63908052444458,0.0002,5.7
0.9415,6.100959777832031,0.0002,5.72
0.9212,5.882194519042969,0.0002,5.74
0.939,5.753507137298584,0.0002,5.76
0.9413,5.984129428863525,0.0002,5.77
0.9413,6.095453262329102,0.0002,5.79
0.9859,6.193780422210693,0.0002,5.81
0.9566,6.22045373916626,0.0002,5.83
0.9354,6.263051509857178,0.0002,5.84
0.9452,6.3679914474487305,0.0002,5.86
0.9523,5.556319236755371,0.0002,5.88
0.8898,6.029979228973389,0.0002,5.89
0.9505,5.6208295822143555,0.0002,5.91
0.9052,5.705646514892578,0.0002,5.93
0.961,5.742941379547119,0.0002,5.95
0.963,5.871904373168945,0.0002,5.96
0.9453,5.952600479125977,0.0002,5.98
0.9558,5.635520935058594,0.0002,6.0
0.9267,5.665163993835449,0.0002,6.02
0.931,5.839602470397949,0.0002,6.03
0.8801,6.415294647216797,0.0002,6.05
0.9578,6.259084701538086,0.0002,6.07
0.877,6.333616256713867,0.0002,6.08
0.8931,5.908798694610596,0.0002,6.1
0.8899,6.677976131439209,0.0002,6.12
0.9267,5.726657390594482,0.0002,6.14
0.9366,6.209708213806152,0.0002,6.15
0.8742,6.314372539520264,0.0002,6.17
0.9446,6.445681571960449,0.0002,6.19
0.9055,6.218250751495361,0.0002,6.21
0.912,6.120852470397949,0.0002,6.22
0.9269,6.133075714111328,0.0002,6.24
0.9121,5.921079158782959,0.0002,6.26
0.8813,6.575042247772217,0.0002,6.27
0.9069,6.402101039886475,0.0002,6.29
0.9045,6.108107566833496,0.0002,6.31
0.8495,6.133200645446777,0.0002,6.33
0.9221,6.319901466369629,0.0002,6.34
0.9148,5.684030532836914,0.0002,6.36
0.9236,5.816843509674072,0.0002,6.38
0.9023,5.878927230834961,0.0002,6.4
0.9526,6.097142696380615,0.0002,6.41
0.9171,6.606540679931641,0.0002,6.43
0.8886,6.249529838562012,0.0002,6.45
0.9517,6.361724853515625,0.0002,6.46
0.8746,6.604925632476807,0.0002,6.48
0.8972,6.149048805236816,0.0002,6.5
0.9316,6.114434242248535,0.0002,6.52
0.948,6.0466718673706055,0.0002,6.53
0.9012,6.181456565856934,0.0002,6.55
0.9079,5.94158411026001,0.0002,6.57
0.9334,5.718885898590088,0.0002,6.59
0.9479,6.2484869956970215,0.0002,6.6
0.9081,5.727555751800537,0.0002,6.62
0.9032,6.100517749786377,0.0002,6.64
0.9144,6.1731367111206055,0.0002,6.66
0.9764,5.967230796813965,0.0002,6.67
0.9075,6.056635856628418,0.0002,6.69
0.9548,6.044095993041992,0.0002,6.71
0.8929,5.768560886383057,0.0002,6.72
0.8691,6.390421390533447,0.0002,6.74
0.8858,6.286332607269287,0.0002,6.76
0.938,5.732709884643555,0.0002,6.78
0.9679,5.711584568023682,0.0002,6.79
0.8791,6.177047252655029,0.0002,6.81
0.9617,6.136504173278809,0.0002,6.83
0.9216,6.286780834197998,0.0002,6.85
0.9483,5.755728244781494,0.0002,6.86
0.9511,5.98911190032959,0.0002,6.88
0.9204,6.099084854125977,0.0002,6.9
0.9097,6.315366744995117,0.0002,6.91
0.894,5.853343486785889,0.0002,6.93
0.9513,5.687999248504639,0.0002,6.95
0.9061,5.83408260345459,0.0002,6.97
0.8976,5.863549709320068,0.0002,6.98
0.8768,5.952241897583008,0.0002,7.0
0.8949,6.264235973358154,0.0002,7.02
0.895,6.02835750579834,0.0002,7.04
0.8628,6.614642143249512,0.0002,7.05
0.87,6.6633148193359375,0.0002,7.07
0.859,6.189698696136475,0.0002,7.09
0.9023,6.039335250854492,0.0002,7.1
0.8836,6.122312068939209,0.0002,7.12
0.9193,6.099137306213379,0.0002,7.14
0.8641,6.156655311584473,0.0002,7.16
0.8996,6.3661298751831055,0.0002,7.17
0.8529,6.278241157531738,0.0002,7.19
0.8759,6.402568340301514,0.0002,7.21
0.8722,6.078054904937744,0.0002,7.23
0.9053,6.784069538116455,0.0002,7.24
0.8917,6.4576826095581055,0.0002,7.26
0.8725,6.328261852264404,0.0002,7.28
0.8756,5.982423305511475,0.0002,7.29
0.9299,6.51944637298584,0.0002,7.31
0.8905,6.5918869972229,0.0002,7.33
0.8467,6.735909938812256,0.0002,7.35
0.9248,6.473630428314209,0.0002,7.36
0.8591,6.047993183135986,0.0002,7.38
0.9174,6.1678266525268555,0.0002,7.4
0.8858,6.4818878173828125,0.0002,7.42
0.9247,6.038449287414551,0.0002,7.43
0.8923,6.061054229736328,0.0002,7.45
0.9012,6.412901401519775,0.0002,7.47
0.8833,6.232489585876465,0.0002,7.48
0.8982,6.4173903465271,0.0002,7.5
0.9126,6.123539924621582,0.0002,7.52
0.9221,6.289766788482666,0.0002,7.54
0.9078,5.990062713623047,0.0002,7.55
0.9048,6.434086322784424,0.0002,7.57
0.9239,5.983731269836426,0.0002,7.59
0.9511,6.35996150970459,0.0002,7.61
0.9043,6.136538028717041,0.0002,7.62
0.9261,6.2950263023376465,0.0002,7.64
0.8622,6.504860877990723,0.0002,7.66
0.8672,6.369466304779053,0.0002,7.68
0.9082,6.5043864250183105,0.0002,7.69
0.8481,6.6902289390563965,0.0002,7.71
0.9151,6.238098621368408,0.0002,7.73
0.9023,6.545223712921143,0.0002,7.74
0.8266,6.375119686126709,0.0002,7.76
0.8995,6.414927959442139,0.0002,7.78
0.8711,6.312893390655518,0.0002,7.8
0.9016,5.870119571685791,0.0002,7.81
0.9244,5.883890628814697,0.0002,7.83
0.8893,6.209286212921143,0.0002,7.85
0.9179,5.885997772216797,0.0002,7.87
0.8694,6.230870246887207,0.0002,7.88
0.9102,6.546996116638184,0.0002,7.9
0.9018,6.0630202293396,0.0002,7.92
0.959,5.894012928009033,0.0002,7.93
0.9055,6.2396039962768555,0.0002,7.95
0.8684,6.746820449829102,0.0002,7.97
0.9247,5.963033199310303,0.0002,7.99
0.8936,6.080401420593262,0.0002,8.0
0.8693,6.56600284576416,0.0002,8.02
0.8538,6.245678901672363,0.0002,8.04
0.9131,6.645726203918457,0.0002,8.06
0.8502,6.418835163116455,0.0002,8.07
0.8594,6.604193687438965,0.0002,8.09
0.8759,6.269510746002197,0.0002,8.11
0.8448,6.368913173675537,0.0002,8.12
0.8549,6.232131004333496,0.0002,8.14
0.8722,6.404721736907959,0.0002,8.16
0.836,6.747515678405762,0.0002,8.18
0.8624,6.4692063331604,0.0002,8.19
0.8787,6.705081939697266,0.0002,8.21
0.8691,6.418754577636719,0.0002,8.23
0.9011,6.151312828063965,0.0002,8.25
0.8795,6.443714618682861,0.0002,8.26
0.8469,6.914102077484131,0.0002,8.28
0.8941,6.419906139373779,0.0002,8.3
0.8413,6.685986042022705,0.0002,8.31
0.8708,6.309338569641113,0.0002,8.33
0.8772,7.187283515930176,0.0002,8.35
0.8736,6.353529453277588,0.0002,8.37
0.8672,6.635004997253418,0.0002,8.38
0.8638,6.611686706542969,0.0002,8.4
0.8771,6.198736190795898,0.0002,8.42
0.8995,6.389863967895508,0.0002,8.44
0.8363,6.211652755737305,0.0002,8.45
0.8562,6.322675704956055,0.0002,8.47
0.8602,6.2938761711120605,0.0002,8.49
0.8892,6.693235874176025,0.0002,8.5
0.8757,6.3405442237854,0.0002,8.52
0.8481,6.375710964202881,0.0002,8.54
0.8236,6.375041961669922,0.0002,8.56
0.8829,6.514158725738525,0.0002,8.57
0.8815,6.7312493324279785,0.0002,8.59
0.9353,6.606796741485596,0.0002,8.61
0.8388,6.226095199584961,0.0002,8.63
0.8801,6.323537349700928,0.0002,8.64
0.8719,6.430606842041016,0.0002,8.66
0.9046,6.334190845489502,0.0002,8.68
0.8927,6.042141914367676,0.0002,8.69
0.9088,6.369941711425781,0.0002,8.71
0.8792,6.162556171417236,0.0002,8.73
0.8489,6.209934711456299,0.0002,8.75
0.8735,6.432966232299805,0.0002,8.76
0.9048,6.527618408203125,0.0002,8.78
0.8729,6.8952436447143555,0.0002,8.8
0.8707,6.450936794281006,0.0002,8.82
0.886,6.399214744567871,0.0002,8.83
0.8556,6.0376787185668945,0.0002,8.85
0.856,6.309270858764648,0.0002,8.87
0.8444,6.454195976257324,0.0002,8.89
0.8799,6.799774169921875,0.0002,8.9
0.8726,6.252419471740723,0.0002,8.92
0.8483,6.5617523193359375,0.0002,8.94
0.9034,6.352284908294678,0.0002,8.95
0.8651,6.235196590423584,0.0002,8.97
0.9097,6.379447937011719,0.0002,8.99
0.8709,5.890706539154053,0.0002,9.01
0.8721,6.9240875244140625,0.0002,9.02
0.8431,6.853020668029785,0.0002,9.04
0.8577,6.715226173400879,0.0002,9.06
0.856,6.44354772567749,0.0002,9.08
0.8559,7.367581367492676,0.0002,9.09
0.8851,6.600942611694336,0.0002,9.11
0.8082,6.567724704742432,0.0002,9.13
0.8369,6.99847936630249,0.0002,9.14
0.8502,6.952502727508545,0.0002,9.16
0.8311,6.773128509521484,0.0002,9.18
0.8327,6.5574421882629395,0.0002,9.2
0.8224,6.850762844085693,0.0002,9.21
0.8349,6.6626715660095215,0.0002,9.23
0.8335,6.7537713050842285,0.0002,9.25
0.815,6.484309196472168,0.0002,9.27
0.8737,6.538950443267822,0.0002,9.28
0.8636,6.779106140136719,0.0002,9.3
0.8306,6.796684265136719,0.0002,9.32
0.8419,6.555130958557129,0.0002,9.33
0.8257,6.5185723304748535,0.0002,9.35
0.8397,6.788949966430664,0.0002,9.37
0.85,6.895514011383057,0.0002,9.39
0.7939,6.995656490325928,0.0002,9.4
0.8633,7.012343406677246,0.0002,9.42
0.8365,6.4799885749816895,0.0002,9.44
0.8549,7.057928562164307,0.0002,9.46
0.8638,6.625752925872803,0.0002,9.47
0.841,6.787798881530762,0.0002,9.49
0.811,6.801362037658691,0.0002,9.51
0.8647,6.884093761444092,0.0002,9.52
0.8798,7.015369415283203,0.0002,9.54
0.8832,6.343809604644775,0.0002,9.56
0.8617,6.385506629943848,0.0002,9.58
0.8804,6.353359222412109,0.0002,9.59
0.8106,7.268764972686768,0.0002,9.61
0.8251,6.801900863647461,0.0002,9.63
0.858,6.5207319259643555,0.0002,9.65
0.8428,6.458012580871582,0.0002,9.66
0.8464,6.292776584625244,0.0002,9.68
0.8853,6.233610153198242,0.0002,9.7
0.9073,6.805239200592041,0.0002,9.71
0.8493,6.685671329498291,0.0002,9.73
0.8695,6.720325469970703,0.0002,9.75
0.8975,6.330815315246582,0.0002,9.77
0.8484,6.775615215301514,0.0002,9.78
0.8822,6.718386173248291,0.0002,9.8
0.8484,6.816053867340088,0.0002,9.82
0.8313,6.594000339508057,0.0002,9.84
0.8322,6.628620624542236,0.0002,9.85
0.8626,6.674252033233643,0.0002,9.87
0.8459,6.496944427490234,0.0002,9.89
0.8506,6.404320240020752,0.0002,9.9
0.8809,6.856830596923828,0.0002,9.92
0.9123,5.98077917098999,0.0002,9.94
0.8468,6.513436794281006,0.0002,9.96
0.8694,6.5417799949646,0.0002,9.97
0.8487,6.6169023513793945,0.0002,9.99
0.8299,6.529040813446045,0.0002,10.01
0.8142,6.920912742614746,0.0002,10.03
0.8095,6.948423385620117,0.0002,10.04
0.8082,6.94215726852417,0.0002,10.06
0.8335,6.448737621307373,0.0002,10.08
0.8349,6.490278244018555,0.0002,10.1
0.8317,7.156589031219482,0.0002,10.11
